Note_index,Note,Octave,Frequency
0,C,0,16.351
1,C#,0,17.324
2,D,0,18.354
3,D#,0,19.445
4,E,0,20.601
5,F,0,21.827
6,F#,0,23.124
7,G,0,24.499
8,G#,0,25.956
9,A,0,27.5
10,A#,0,29.135
11,B,0,30.868
12,C,1,32.703
13,C#,1,34.648
14,D,1,36.708
15,D#,1,38.891
16,E,1,41.203
17,F,1,43.654
18,F#,1,46.249
19,G,1,48.999
20,G#,1,51.913
21,A,1,55
22,A#,1,58.27
23,B,1,61.735
24,C,2,65.406
25,C#,2,69.296
26,D,2,73.416
27,D#,2,77.782
28,E,2,82.407
29,F,2,87.307
30,F#,2,92.499
31,G,2,97.999
32,G#,2,103.826
33,A,2,110
34,A#,2,116.541
35,B,2,123.471
36,C,3,130.813
37,C#,3,138.591
38,D,3,146.832
39,D#,3,155.563
40,E,3,164.814
41,F,3,174.614
42,F#,3,184.997
43,G,3,195.998
44,G#,3,207.652
45,A,3,220
46,A#,3,233.082
47,B,3,246.942
48,C,4,261.626
49,C#,4,277.183
50,D,4,293.665
51,D#,4,311.127
52,E,4,329.628
53,F,4,349.228
54,F#,4,369.994
55,G,4,391.995
56,G#,4,415.305
57,A,4,440
58,A#,4,466.164
59,B,4,493.883
60,C,5,523.251
61,C#,5,554.365
62,D,5,587.33
63,D#,5,622.254
64,E,5,659.255
65,F,5,698.456
66,F#,5,739.989
67,G,5,783.991
68,G#,5,830.609
69,A,5,880
70,A#,5,932.328
71,B,5,987.767
72,C,6,1046.502
73,C#,6,1108.731
74,D,6,1174.659
75,D#,6,1244.508
76,E,6,1318.51
77,F,6,1396.913
78,F#,6,1479.978
79,G,6,1567.982
80,G#,6,1661.219
81,A,6,1760
82,A#,6,1864.655
83,B,6,1975.533
84,C,7,2093.005
85,C#,7,2217.461
86,D,7,2349.318
87,D#,7,2489.016
88,E,7,2637.021
89,F,7,2793.826
90,F#,7,2959.955
91,G,7,3135.964
92,G#,7,3322.438
93,A,7,3520
94,A#,7,3729.31
95,B,7,3951.066
96,C,8,4186.009
97,C#,8,4434.922
98,D,8,4698.636
99,D#,8,4978.032
100,E,8,5274.042
101,F,8,5587.652
102,F#,8,5919.91
103,G,8,6271.928
104,G#,8,6644.876
105,A,8,7040
106,A#,8,7458.62
107,B,8,7902.132
108,C,9,8372.018
109,C#,9,8869.844
110,D,9,9397.272
111,D#,9,9956.064
112,E,9,10548.084
113,F,9,11175.304
114,F#,9,11839.82
115,G,9,12543.856
116,G#,9,13289.752
117,A,9,14080
118,A#,9,14917.24
119,B,9,15804.264
